<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Comments>;<max_chars>
ships/uss_cv_immortal_0;Nosiciel;Porte-avion;USS Immortal;Flugzeugträger;Portaaviones;Авианосец;Nosiciel;USS Immortal;Uçak Gemisi;航\t空\t母\t舰;空母;Porta-aviões;Авіаносець;Nosač aviona;repülőgép-hordozó;항공모함;Авіяносец;USS Immortal;航\t空\t母\t艦;【航\t空\t母\t舰\t】;;
ships/uss_cv_immortal_1;Nosiciel;Porte-avion;Portaerei USA;Flugzeugträger;Portaaviones;Авианосец;Nosiciel;USS Immortal;Uçak Gemisi;航\t空\t母\t舰;空母;Porta-aviões;Авіаносець;Nosač aviona;repülőgép-hordozó;항공모함;Авіяносец;Portavion american;航\t空\t母\t艦;【航\t空\t母\t舰\t】;;
ships/uss_cv_immortal_2;Nosiciel;Porte-avion;Portaerei;Flugzeugträger;Portaaviones;Авианосец;Nosiciel;Immortal;Uçak Gemisi;航\t空\t母\t舰;空母;Porta-aviões;Авіаносець;Nosač aviona;repülőgép-hordozó;항공모함;Авіяносец;Portavion;航\t空\t母\t艦;【航\t空\t母\t舰\t】;;
ships/uss_lcvp_light_0;Rękodzielnictwo Półpiętra;Barge de débarquement;USS LCVP;Landungsboot;Lancha de desembarco;Десантное судно;Rękodzielnictwo Półpiętra;Landing Craft Vehicle Personnel;Çıkarma Gemisi;【登\t陆\t艇\t】\t小\t型\t登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;USS LCVP;【登\t陸\t艇\t】\t小\t型\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t艇\t】;;
ships/uss_lcvp_light_1;Rękodzielnictwo Półpiętra;Barge de débarquement;Nave da sbarco USA;Landungsboot;Lancha de desembarco;Десантное судно;Rękodzielnictwo Półpiętra;LCVP;Çıkarma Gemisi;【登\t陆\t艇\t】\t小\t型\t登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Barjă de debarcare SUA;【登\t陸\t艇\t】\t小\t型\t車\t輛\t人\t員\t登\t陸\t艇;【登\t陆\t艇\t】;;
ships/uss_lcvp_light_2;Rękodzielnictwo Półpiętra;Barge de débarquement;Nave da sbarco;Landungsboot;Lancha de desembarco;Десантное судно;Rękodzielnictwo Półpiętra;LCVP;Çıkarma Gemisi;登\t陆\t艇;上陸用舟艇;Lancha de desembarque;Десантне судно;Desantni čamac;deszanthajó;상륙정;Дэсантны карабель;Barjă de debarcare;登\t陸\t艇;【登\t陆\t艇\t】;;
tracked_vehicles/ussr_t34_85_increased_pitch_0;Traktor;Char;T34-85;Panzer;Tanque;Танк;Traktor;T-34-85 (ZIS-53);Tank;T-34-85;戦車;Tanque;Танк;Tenk;harckocsi;전차;Танк;T34-85;坦\t克;【坦\t克\t】;;
tracked_vehicles/ussr_t34_85_increased_pitch_1;Traktor;Char;Carro armato medio;Panzer;Tanque;Танк;Traktor;T-34-85;Tank;T-34-85;戦車;Tanque;Танк;Tenk;harckocsi;전차;Танк;Tanc mediu;坦\t克;【坦\t克\t】;;
tracked_vehicles/ussr_t34_85_increased_pitch_2;Traktor;Char;Carro armato;Panzer;Tanque;Танк;Traktor;T-34;Tank;中\t型\t坦\t克;戦車;Tanque;Танк;Tenk;harckocsi;전차;Танк;Tanc;坦\t克;【坦\t克\t】;;
air_defence/searchLightTop_0;Lekkostrawny Szukacz;Projecteur;Proiettore;Suchscheinwerfer;Reflector;Прожектор;Lekkostrawny Szukacz;pátrací reflektor;Projektör;探\t照\t灯;サーチライト;Luz de busca;Прожектор;Reflektor;keresőfény;탐조등;Пражэктар;Proiector;探\t照\t燈;探\t照\t灯;;
air_defence/searchLightTop_1;Lekkostrawny Szukacz;Projecteur;Proiettore;Suchscheinwerfer;Reflector;Прожектор;Lekkostrawny Szukacz;pátrací reflektor;Projektör;探\t照\t灯;サーチライト;Luz de busca;Прожектор;Reflektor;keresőfény;탐조등;Пражэктар;Proiector;探\t照\t燈;探\t照\t灯;;
air_defence/searchLightTop_2;Lekkostrawny Szukacz;Projecteur;Proiettore;Suchscheinwerfer;Reflector;Прожектор;Lekkostrawny Szukacz;pátrací reflektor;Projektör;探\t照\t灯;サーチライト;Luz de busca;Прожектор;Reflektor;keresőfény;탐조등;Пражэктар;Proiector;探\t照\t燈;探\t照\t灯;;
ships/germ_bb_tirpitz_searchlight_top_0;Łódź Batalistyczna;Cuirassé;Tirpitz;Schlachtschiff;Acorazado;Линкор;Łódź Batalistyczna;Tirpitz;Zırhlı;【战\t列\t舰\t】\t提\t尔\t皮\t茨;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Лінкар;Tirpitz;【戰\t列\t艦\t】\t鐵\t必\t制\t號;【战\t列\t舰\t】;;
ships/germ_bb_tirpitz_searchlight_top_1;Łódź Batalistyczna;Cuirassé;Corazzata Tedesca;Schlachtschiff;Acorazado;Линкор;Łódź Batalistyczna;Tirpitz;Zırhlı;【战\t列\t舰\t】\t提\t尔\t皮\t茨;戦艦;Couraçado;Лінкор;Bojni brod;csatahajó;전함;Лінкар;Cuirasat german;【戰\t列\t艦\t】\t鐵\t必\t制\t號;【战\t列\t舰\t】;;
